name,cat,muscle,presc,unit,has image,how to do it,common mistakes
Sledgehammer Strikes,Conditioning,Full Body,4x20,reps,yes,,
Tire Flip,Conditioning,Full Body,4x5,reps,yes,,
Wall Ball Over Shoulder,Conditioning,Full Body,4x10,reps,,,
Yoke Carry,Conditioning,Full Body,4x20m,distance,yes,,
Zercher Carry,Conditioning,Full Body,3x30m,distance,yes,,
Sled Drag,Conditioning,Hamstrings,4x20m,distance,yes,,
Box Step Over,Conditioning,Quadriceps,4x10,reps,,,
Sandbag Squat,Conditioning,Quadriceps,4x12,reps,,,
Slam Ball Squat,Conditioning,Quadriceps,4x12,reps,,,
Sled Sprint,Conditioning,Quadriceps,6x15m,distance,,,
Wall Drill,Conditioning,Quadriceps,4x20s,time,,,
Battle Ropes Waves,Conditioning,Shoulders,4x30s,time,yes,,
Overhead Carry,Conditioning,Shoulders,3x30m,distance,yes,,
Speed Bag Boxing,Conditioning,Shoulders,3x2min,time,,,
Suitcase Deadlift,Dumbbell,Abdominals,3x10,reps,,,
Serratus Punch,Dumbbell,Chest,3x15,reps,,,
Farmer Hold,Dumbbell,Forearms,3x45s,time,,,
Pronation Supination,Dumbbell,Forearms,3x15,reps,,,
Wrist Extension Eccentric,Dumbbell,Forearms,3x15,reps,,,
Wrist Flexion Eccentric,Dumbbell,Forearms,3x15,reps,,,
Devil Press,Dumbbell,Full Body,4x8,reps,yes,,
Lunge to Press,Dumbbell,Full Body,4x10,reps,,,
Man Maker,Dumbbell,Full Body,4x8,reps,,,
Stiff Leg Deadlift (Dumbbell),Dumbbell,Hamstrings,4x8,reps,,,
Jefferson Curl (Dumbbell),Dumbbell,Lower Back,3x8,reps,yes,,
Cuban Rotation,Dumbbell,Shoulders,3x12,reps,yes,,
Dumbbell Snatch Alternating,Dumbbell,Shoulders,4x10,reps,,,
Dumbbell Thruster,Dumbbell,Shoulders,4x10,reps,,,
Empty Can Raise,Dumbbell,Shoulders,3x12,reps,,,
Full Can Raise,Dumbbell,Shoulders,3x15,reps,,,
Half Kneeling Press,Dumbbell,Shoulders,3x10,reps,,,
Prone External Rotation,Dumbbell,Shoulders,3x15,reps,,,
Scaption Raise,Dumbbell,Shoulders,3x15,reps,,,
Side Lying External Rotation,Dumbbell,Shoulders,3x15,reps,,,
Tate Press,Dumbbell,Triceps,3x12,reps,yes,,
Tricep Kickback,Dumbbell,Triceps,3x15,reps,yes,,
Kroc Row,Dumbbell,Upper Back,3x15,reps,,,
Kettlebell Windmill,Kettlebell,Abdominals,3x6,reps,yes,,
Kettlebell Figure 8,Kettlebell,Full Body,3x12,reps,yes,,
Kettlebell Turkish Get Up,Kettlebell,Full Body,4x8,reps,yes,,
Kettlebell Swing American,Kettlebell,Glutes,4x15,reps,,,
Double Kettlebell Front Squat,Kettlebell,Quadriceps,4x8,reps,yes,,
Bottoms Up Carry,Kettlebell,Shoulders,3x30m,distance,,,
Kettlebell Bottoms Up Press,Kettlebell,Shoulders,3x8,reps,yes,,
Kettlebell Clean and Press,Kettlebell,Shoulders,4x6,reps,yes,,
Cable Reverse Woodchop,Machine,Abdominals,3x12,reps,yes,,
Cable Woodchop,Machine,Abdominals,3x12,reps,yes,,
GHD Sit Up,Machine,Abdominals,3x12,reps,yes,,
Kneeling Cable Crunch,Machine,Abdominals,3x15,reps,,,
Hip Abduction (Machine),Machine,Abductors,4x8,reps,yes,,
Hip Adduction (Cable),Machine,Adductors,4x8,reps,yes,,
Bayesian Curl,Machine,Biceps,3x12,reps,,,
Bicep Curl (Cable),Machine,Biceps,3x12,reps,yes,,
Cable Rope Hammer Curl,Machine,Biceps,3x15,reps,,,
Hammer Curl (Cable),Machine,Biceps,3x12,reps,yes,,
Leg Press Calf Raise,Machine,Calves,4x15,reps,,,
Smith Machine Calf Raise,Machine,Calves,4x15,reps,,,
Bench Press (Smith Machine),Machine,Chest,4x8,reps,yes,,
Cable Crossover High,Machine,Chest,3x15,reps,,,
Cable Crossover Low,Machine,Chest,3x15,reps,,,
Cable Kickback,Machine,Glutes,4x8,reps,,,
Standing Leg Curl,Machine,Hamstrings,3x12,reps,,,
Assisted Pull Up Machine,Machine,Lats,3x10,reps,,,
Cable Pullover,Machine,Lats,3x12,reps,yes,,
Iso-Lateral High Row (Machine),Machine,Lats,4x8,reps,yes,,
Lat Pulldown - Close Grip (Cable),Machine,Lats,4x8,reps,,,
Nautilus Pullover,Machine,Lats,3x12,reps,,,
Vertical Traction (Machine),Machine,Lats,4x8,reps,,,
45 Degree Hyper,Machine,Lower Back,3x15,reps,yes,,
Neck Harness Extension,Machine,Neck,3x15,reps,,,
Terminal Knee Extension,Machine,Quadriceps,3x15,reps,yes,,
External Rotation (Cable),Machine,Shoulders,3x15,reps,,,
Internal Rotation (Cable),Machine,Shoulders,3x15,reps,,,
Leaning Cable Lateral Raise,Machine,Shoulders,3x15,reps,,,
Overhead Press (Smith Machine),Machine,Shoulders,3x12,reps,yes,,
Single Arm Cable Kickback,Machine,Triceps,3x15,reps,,,
Triceps Extension (Cable),Machine,Triceps,3x12,reps,yes,,
Cable Rear Delt Row,Machine,Upper Back,3x15,reps,,,
Face Pull Rope,Machine,Upper Back,3x15,reps,,,
Reverse Pec Deck,Machine,Upper Back,3x15,reps,,,
Pilates,Mobility / Stretch,Full Body,3x45s,time,yes,,
Stretching,Mobility / Stretch,Full Body,3x45s,time,yes,,
Warm Up,Mobility / Stretch,Full Body,3x45s,time,yes,,
Yoga,Mobility / Stretch,Full Body,3x45s,time,yes,,
