name,cat,muscle,presc,unit,log_type,status,image_url,video_url,difficulty,secondary_muscles,movement_pattern,instructions,common_mistakes,alternatives
L-Sit Hold,Bodyweight,Abdominals,3x45s,time,hold,existing,,,,,,,,
Lat Pulldown (Band),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Lat closed grip pull down,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Lateral Band Walks,Bodyweight,Glutes,3x400m,distance,cardio,existing,,,,,,,,
Lateral Box Jump,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Lateral Leg Raises,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Lateral Lunge,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Lateral Raise (Band),Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Lateral Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Leg Raise Parallel Bars,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Low Row (Suspension),Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Low row,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Lunge,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Lying Knee Raise,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Lying Leg Raise,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Lying Neck Curls,Bodyweight,Neck,3x15,reps,strength,existing,,,,,,,,
Lying Neck Curls (Weighted),Bodyweight,Neck,3x15,reps,strength,existing,,,,,,,,
Lying Neck Extension,Bodyweight,Neck,3x15,reps,strength,existing,,,,,,,,
Lying Neck Extension (Weighted),Bodyweight,Neck,3x15,reps,strength,existing,,,,,,,,
Mountain Climber,Bodyweight,Full Body,3x45s,time,strength,existing,,,,,,,,
Muscle Up,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Negative Pull Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Nordic Hamstrings Curls,Bodyweight,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Oblique Crunch,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
One Arm Push Up,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Overhead Plate Raise,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Overhead Squat,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Pike Pushup,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Pistol Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Plank,Bodyweight,Abdominals,3x45s,time,hold,existing,,,,,,,,
Plank Pushup,Bodyweight,Chest,3x45s,time,hold,existing,,,,,,,,
Plate Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Plate Front Raise,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Plate Press,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Plate Squeeze (Svend Press),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Power Clean,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Power Snatch,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Press Under,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Pull Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Pull Up (Assisted),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Pull Up (Band),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Pull Up (Weighted),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Push Press,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Push Up,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Push Up (Weighted),Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Rack Pull,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Reverse Crunch,Bodyweight,Abdominals,3x400m,distance,strength,existing,,,,,,,,
Reverse Grip Concentration Curl,Bodyweight,Biceps,3x12,reps,strength,existing,,,,,,,,
Reverse Grip Triceps Pushdown,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Reverse Hyperextension,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Reverse Lunge,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Reverse Plank,Bodyweight,Abdominals,3x45s,time,hold,existing,,,,,,,,
Ring Dips,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Ring Pull Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Ring Push Up,Bodyweight,Chest,4x8,reps,strength,existing,,,,,,,,
Rope Straight Arm Pulldown,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Russian Twist (Bodyweight),Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Russian Twist (Weighted),Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Scapular Pull Ups,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Seated Calf Raise,Bodyweight,Calves,3x15,reps,strength,existing,,,,,,,,
Seated Palms Up Wrist Curl,Bodyweight,Forearms,3x15,reps,strength,existing,,,,,,,,
Seated Triceps Press,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Shoulder Taps,Bodyweight,Shoulders,3x12,reps,strength,existing,,,,,,,,
Side Bend,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Side Plank,Bodyweight,Abdominals,3x45s,time,hold,existing,,,,,,,,
Single Arm Lat Pulldown,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Single Leg Extensions,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Single Leg Glute Bridge,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Single Leg Hip Thrust,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Single Leg Standing Calf Raise,Bodyweight,Calves,3x15,reps,strength,existing,,,,,,,,
Sissy Squat (Weighted),Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Sit Up,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Sit Up (Weighted),Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Snatch,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Spiderman,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Split Jerk,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Squat (Band),Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Squat (Bodyweight),Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Squat (Suspension),Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Squat Row,Bodyweight,Full Body,4x8,reps,strength,existing,,,,,,,,
Standing Calf Raise,Bodyweight,Calves,3x15,reps,strength,existing,,,,,,,,
Standing Calf Raise (Smith),Bodyweight,Calves,3x15,reps,strength,existing,,,,,,,,
Standing Leg Curls,Bodyweight,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Step Up,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Sternum Pull up (Gironda),Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Straight Leg Deadlift,Bodyweight,Hamstrings,4x8,reps,strength,existing,,,,,,,,
Sumo Deadlift,Bodyweight,Glutes,4x8,reps,strength,existing,,,,,,,,
Sumo Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Superman,Bodyweight,Lower Back,4x8,reps,strength,existing,,,,,,,,
T Bar Row,Bodyweight,Upper Back,4x8,reps,strength,existing,,,,,,,,
Toe Touch,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Toes to Bar,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Torso Rotation,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Triceps Dip,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Dip (Assisted),Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Dip (Weighted),Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Extension (Suspension),Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Pressdown,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Pushdown,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
Triceps Rope Pushdown,Bodyweight,Triceps,3x12,reps,strength,existing,,,,,,,,
V Up,Bodyweight,Abdominals,3x15,reps,strength,existing,,,,,,,,
Walking Lunge,Bodyweight,Quadriceps,3x400m,distance,cardio,existing,,,,,,,,
Wall Sit,Bodyweight,Quadriceps,3x45s,time,hold,existing,,,,,,,,
Wide Pull Up,Bodyweight,Lats,4x8,reps,strength,existing,,,,,,,,
Wrist Roller,Bodyweight,Forearms,3x15,reps,strength,existing,,,,,,,,
Zercher Squat,Bodyweight,Quadriceps,4x8,reps,strength,existing,,,,,,,,
Ball Slams,Conditioning,Full Body,4x8,reps,strength,existing,,,,,,,,
Burpee,Conditioning,Full Body,4x8,reps,strength,existing,,,,,,,,
Burpee Broad Jumps,Conditioning,Full Body,4x8,reps,strength,existing,,,,,,,,
Burpee Over the Bar,Conditioning,Full Body,4x8,reps,strength,existing,,,,,,,,
Farmers Walk,Conditioning,Full Body,3x400m,distance,cardio,existing,,,,,,,,
Sled Pull,Conditioning,Full Body,3x400m,distance,carry,existing,,,,,,,,
Sled Push,Conditioning,Full Body,3x400m,distance,carry,existing,,,,,,,,
Walking Lunge (Sandbag),Conditioning,Quadriceps,3x400m,distance,cardio,existing,,,,,,,,
Wall Ball,Conditioning,Full Body,3x45s,time,strength,existing,,,,,,,,
Air Bike,Cardio Machine,Cardio,3x400m,distance,strength,existing,,,,,,,,
Elliptical Trainer,Cardio Machine,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Recumbent Bike,Cardio Machine,Cardio,3x400m,distance,strength,existing,,,,,,,,
Ski Erg,Cardio Machine,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Spinning,Cardio Machine,Cardio,3x45s,time,strength,existing,,,,,,,,
Treadmill,Cardio Machine,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Aerobics,Cardio Outdoor,Cardio,3x45s,time,strength,existing,,,,,,,,
Battle Ropes,Cardio Outdoor,Cardio,3x45s,time,cardio,existing,,,,,,,,
Boxing,Cardio Outdoor,Cardio,3x45s,time,cardio,existing,,,,,,,,
Climbing,Cardio Outdoor,Cardio,3x400m,distance,strength,existing,,,,,,,,
Cycling,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
HIIT,Cardio Outdoor,Cardio,3x45s,time,strength,existing,,,,,,,,
Hiking,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Jump Rope,Cardio Outdoor,Cardio,3x45s,time,cardio,existing,,,,,,,,
Running,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Skating,Cardio Outdoor,Cardio,3x400m,distance,strength,existing,,,,,,,,
Skiing,Cardio Outdoor,Cardio,3x400m,distance,strength,existing,,,,,,,,
Snowboarding,Cardio Outdoor,Cardio,3x400m,distance,strength,existing,,,,,,,,
Sprints,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Swimming,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Walking,Cardio Outdoor,Cardio,3x400m,distance,cardio,existing,,,,,,,,
Downward Dog,Mobility / Stretch,Full Body,4x8,reps,strength,existing,,,,,,,,
Pilates,Mobility / Stretch,Full Body,3x45s,time,strength,existing,,,,,,,,
Stretching,Mobility / Stretch,Full Body,3x45s,time,hold,existing,,,,,,,,
Warm Up,Mobility / Stretch,Full Body,3x45s,time,strength,existing,,,,,,,,
Yoga,Mobility / Stretch,Full Body,3x45s,time,hold,existing,,,,,,,,
Atlas Stone Lift,Conditioning,Full Body,4x3,reps,strength,new,,,,,,,,
Atlas Stone Over Bar,Conditioning,Full Body,4x3,reps,strength,new,,,,,,,,
Tire Flip,Conditioning,Full Body,4x5,reps,strength,new,,,,,,,,
Log Press,Barbell,Shoulders,4x5,reps,strength,new,,,,,,,,
Yoke Carry,Conditioning,Full Body,4x20m,distance,carry,new,,,,,,,,
Zercher Carry,Conditioning,Full Body,3x30m,distance,carry,new,,,,,,,,
Sandbag Carry,Conditioning,Full Body,3x40m,distance,carry,new,,,,,,,,
Sandbag Clean,Conditioning,Full Body,4x5,reps,strength,new,,,,,,,,
Sandbag Over Shoulder,Conditioning,Full Body,4x5,reps,strength,new,,,,,,,,
Keg Carry,Conditioning,Full Body,3x30m,distance,carry,new,,,,,,,,
Overhead Carry,Conditioning,Shoulders,3x30m,distance,carry,new,,,,,,,,
Sled Drag,Conditioning,Hamstrings,4x20m,distance,cardio,new,,,,,,,,
Sled Sprint,Conditioning,Quadriceps,6x15m,distance,cardio,new,,,,,,,,
Axle Deadlift,Barbell,Glutes,4x5,reps,strength,new,,,,,,,,
Safety Bar Squat,Barbell,Quadriceps,4x6,reps,strength,new,,,,,,,,
Pin Squat,Barbell,Quadriceps,4x3,reps,strength,new,,,,,,,,
Anderson Squat,Barbell,Quadriceps,4x3,reps,strength,new,,,,,,,,
Board Press,Barbell,Chest,4x3,reps,strength,new,,,,,,,,
Spoto Press,Barbell,Chest,4x5,reps,strength,new,,,,,,,,
Larsen Press,Barbell,Chest,4x5,reps,strength,new,,,,,,,,
Pin Press,Barbell,Shoulders,4x3,reps,strength,new,,,,,,,,
Reverse Band Bench Press,Barbell,Chest,4x3,reps,strength,new,,,,,,,,
Chain Bench Press,Barbell,Chest,4x3,reps,strength,new,,,,,,,,
Deficit Deadlift,Barbell,Glutes,4x4,reps,strength,new,,,,,,,,
Block Pull Deadlift,Barbell,Glutes,4x4,reps,strength,new,,,,,,,,
Push Jerk,Barbell,Shoulders,5x3,reps,strength,new,,,,,,,,
Snatch Pull,Barbell,Upper Back,4x3,reps,strength,new,,,,,,,,
Muscle Snatch,Barbell,Shoulders,4x3,reps,strength,new,,,,,,,,
Depth Jump,Bodyweight,Quadriceps,4x5,reps,strength,new,,,,,,,,
Hurdle Hop,Bodyweight,Calves,4x6,reps,strength,new,,,,,,,,
Tuck Jump,Bodyweight,Quadriceps,4x8,reps,strength,new,,,,,,,,
Pogo Jump,Bodyweight,Calves,3x20,reps,strength,new,,,,,,,,
Bounding,Bodyweight,Glutes,4x20m,distance,cardio,new,,,,,,,,
Single Leg Box Jump,Bodyweight,Quadriceps,3x5,reps,strength,new,,,,,,,,
Medicine Ball Slam,Conditioning,Full Body,4x10,reps,strength,new,,,,,,,,
Rotational Medicine Ball Throw,Conditioning,Abdominals,4x6,reps,strength,new,,,,,,,,
Overhead Medicine Ball Throw,Conditioning,Full Body,4x8,reps,strength,new,,,,,,,,
Medicine Ball Chest Pass,Conditioning,Chest,4x8,reps,strength,new,,,,,,,,
Slant Board Squat,Bodyweight,Quadriceps,3x12,reps,strength,new,,,,,,,,
Terminal Knee Extension,Machine,Quadriceps,3x15,reps,strength,new,,,,,,,,
Tibialis Raise,Bodyweight,Calves,3x20,reps,strength,new,,,,,,,,
Poliquin Step Up,Bodyweight,Quadriceps,3x12,reps,strength,new,,,,,,,,
ATG Split Squat,Bodyweight,Quadriceps,3x10,reps,strength,new,,,,,,,,
Reverse Nordic Curl,Bodyweight,Quadriceps,3x8,reps,strength,new,,,,,,,,
Jefferson Curl,Barbell,Lower Back,3x8,reps,strength,new,,,,,,,,
Copenhagen Plank,Bodyweight,Adductors,3x30s,time,hold,new,,,,,,,,
Planche Lean Hold,Bodyweight,Shoulders,4x20s,time,hold,new,,,,,,,,
Tuck Planche Hold,Bodyweight,Shoulders,4x15s,time,hold,new,,,,,,,,
Pseudo Planche Push Up,Bodyweight,Chest,3x8,reps,strength,new,,,,,,,,
Skin the Cat,Bodyweight,Lats,3x5,reps,strength,new,,,,,,,,
Back Lever Hold,Bodyweight,Lats,4x15s,time,hold,new,,,,,,,,
Archer Pull Up,Bodyweight,Lats,3x5,reps,strength,new,,,,,,,,
Typewriter Pull Up,Bodyweight,Lats,3x5,reps,strength,new,,,,,,,,
Human Flag Hold,Bodyweight,Abdominals,4x10s,time,hold,new,,,,,,,,
Hanging Windshield Wiper,Bodyweight,Abdominals,3x8,reps,strength,new,,,,,,,,
Ab Rollout from Standing,Bodyweight,Abdominals,3x6,reps,strength,new,,,,,,,,
Stir the Pot Hold,Bodyweight,Abdominals,3x30s,time,hold,new,,,,,,,,
GHD Sit Up,Machine,Abdominals,3x12,reps,strength,new,,,,,,,,
Weighted Hollow Body Hold,Bodyweight,Abdominals,3x30s,time,hold,new,,,,,,,,
Man Maker,Dumbbell,Full Body,4x8,reps,strength,new,,,,,,,,
Devil Press,Dumbbell,Full Body,4x8,reps,strength,new,,,,,,,,
Sledgehammer Strikes,Conditioning,Full Body,4x20,reps,strength,new,,,,,,,,
Shuttle Run,Cardio Outdoor,Cardio,6x20m,distance,cardio,new,,,,,,,,
Jacob's Ladder,Cardio Machine,Cardio,3x5min,time,cardio,new,,,,,,,,
Versaclimber,Cardio Machine,Cardio,3x5min,time,cardio,new,,,,,,,,
Battle Ropes Waves,Conditioning,Shoulders,4x30s,time,cardio,new,,,,,,,,
Battle Ropes Slams,Conditioning,Full Body,4x30s,time,cardio,new,,,,,,,,
Kettlebell Clean and Press,Kettlebell,Shoulders,4x6,reps,strength,new,,,,,,,,
Kettlebell Windmill,Kettlebell,Abdominals,3x6,reps,strength,new,,,,,,,,
Kettlebell Bottoms Up Press,Kettlebell,Shoulders,3x8,reps,strength,new,,,,,,,,
Kettlebell Figure 8,Kettlebell,Full Body,3x12,reps,strength,new,,,,,,,,
Double Kettlebell Front Squat,Kettlebell,Quadriceps,4x8,reps,strength,new,,,,,,,,
Cable Woodchop,Machine,Abdominals,3x12,reps,strength,new,,,,,,,,
Cable Reverse Woodchop,Machine,Abdominals,3x12,reps,strength,new,,,,,,,,
World's Greatest Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Couch Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Cat-Cow Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
90/90 Hip Switch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Thoracic Rotation Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Wall Slide Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Band Dislocate Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Ankle Circles Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Deep Squat Hold Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Hip Flexor Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Hamstring Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Pigeon Pose Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Child's Pose Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Downward-Facing Dog Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Cobra Pose Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Seated Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Standing Quad Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Calf Stretch on Wall,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Doorway Chest Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Cross Body Shoulder Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Overhead Triceps Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Neck Side Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Levator Scapulae Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Wrist Flexor Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Wrist Extensor Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Butterfly Groin Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Seated Spinal Twist Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Lying Glute Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Standing IT Band Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Lat Stretch on Rack,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Puppy Pose Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Thread the Needle Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Foam Rolling Quads,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling IT Band,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Thoracic Spine,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Glutes,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Calves,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Lats,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Shrimp Squat,Bodyweight,Quadriceps,3x8,reps,strength,new,,,,,,,,
Skater Squat,Bodyweight,Quadriceps,3x10,reps,strength,new,,,,,,,,
Chair Squat,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Step Up (Bodyweight),Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Duck Walk,Bodyweight,Quadriceps,3x20m,distance,cardio,new,,,,,,,,
Jump Lunge,Bodyweight,Quadriceps,3x12,reps,strength,new,,,,,,,,
Broad Jump,Bodyweight,Glutes,4x5,reps,strength,new,,,,,,,,
Single Leg Glute Bridge March,Bodyweight,Glutes,3x12,reps,strength,new,,,,,,,,
Frog Pump,Bodyweight,Glutes,3x20,reps,strength,new,,,,,,,,
Donkey Kick,Bodyweight,Glutes,3x15,reps,strength,new,,,,,,,,
Fire Hydrant,Bodyweight,Abductors,3x15,reps,strength,new,,,,,,,,
Standing Calf Raise (Bodyweight),Bodyweight,Calves,3x20,reps,strength,new,,,,,,,,
Single Leg Calf Raise (Bodyweight),Bodyweight,Calves,3x15,reps,strength,new,,,,,,,,
Wide Push Up,Bodyweight,Chest,3x12,reps,strength,new,,,,,,,,
Close Grip Push Up,Bodyweight,Triceps,3x12,reps,strength,new,,,,,,,,
Archer Push Up,Bodyweight,Chest,3x8,reps,strength,new,,,,,,,,
Hindu Push Up,Bodyweight,Shoulders,3x10,reps,strength,new,,,,,,,,
Spiderman Push Up,Bodyweight,Chest,3x10,reps,strength,new,,,,,,,,
Staggered Push Up,Bodyweight,Chest,3x10,reps,strength,new,,,,,,,,
Wall Push Up,Bodyweight,Chest,3x15,reps,strength,new,,,,,,,,
Explosive Push Up,Bodyweight,Chest,3x8,reps,strength,new,,,,,,,,
Tempo Push Up,Bodyweight,Chest,3x8,reps,strength,new,,,,,,,,
Chair Incline Push Up,Bodyweight,Chest,3x12,reps,strength,new,,,,,,,,
Chair Dip,Bodyweight,Triceps,3x12,reps,strength,new,,,,,,,,
Chair Step Up,Bodyweight,Quadriceps,3x12,reps,strength,new,,,,,,,,
Chair Bulgarian Split Squat,Bodyweight,Quadriceps,3x10,reps,strength,new,,,,,,,,
Towel Row,Bodyweight,Upper Back,3x12,reps,strength,new,,,,,,,,
Table Row,Bodyweight,Upper Back,3x10,reps,strength,new,,,,,,,,
Doorway Row,Bodyweight,Upper Back,3x12,reps,strength,new,,,,,,,,
Superman Pull,Bodyweight,Lower Back,3x15,reps,strength,new,,,,,,,,
Prone Y Raise,Bodyweight,Shoulders,3x15,reps,strength,new,,,,,,,,
Prone T Raise,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Prone W Raise,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Band Face Pull,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Band Bicep Curl,Bodyweight,Biceps,3x15,reps,strength,new,,,,,,,,
Band Tricep Extension,Bodyweight,Triceps,3x15,reps,strength,new,,,,,,,,
Band Shoulder Press,Bodyweight,Shoulders,3x15,reps,strength,new,,,,,,,,
Band Good Morning,Bodyweight,Hamstrings,3x15,reps,strength,new,,,,,,,,
Band Hip Thrust,Bodyweight,Glutes,3x20,reps,strength,new,,,,,,,,
Band Monster Walk,Bodyweight,Abductors,3x20m,distance,cardio,new,,,,,,,,
Flutter Kick,Bodyweight,Abdominals,3x30,reps,strength,new,,,,,,,,
Scissor Kick,Bodyweight,Abdominals,3x30,reps,strength,new,,,,,,,,
Heel Tap,Bodyweight,Abdominals,3x20,reps,strength,new,,,,,,,,
Toe Touch Crunch,Bodyweight,Abdominals,3x20,reps,strength,new,,,,,,,,
Side Plank Dip,Bodyweight,Abdominals,3x15,reps,hold,new,,,,,,,,
Plank Shoulder Tap,Bodyweight,Abdominals,3x20,reps,hold,new,,,,,,,,
Plank Jack,Bodyweight,Abdominals,3x20,reps,hold,new,,,,,,,,
Bear Crawl Hold,Bodyweight,Full Body,3x30s,time,hold,new,,,,,,,,
Butt Kicks,Bodyweight,Cardio,3x30s,time,cardio,new,,,,,,,,
Star Jump,Bodyweight,Full Body,3x20,reps,strength,new,,,,,,,,
Skater Jump,Bodyweight,Quadriceps,3x20,reps,strength,new,,,,,,,,
Squat Thrust,Bodyweight,Full Body,3x15,reps,strength,new,,,,,,,,
Inchworm,Bodyweight,Full Body,3x10,reps,strength,new,,,,,,,,
Shadow Boxing,Conditioning,Cardio,3x3min,time,cardio,new,,,,,,,,
Stair Sprints,Cardio Outdoor,Cardio,6x30s,time,cardio,new,,,,,,,,
Burpee Pull Up,Bodyweight,Full Body,3x8,reps,strength,new,,,,,,,,
Isometric Squat Hold,Bodyweight,Quadriceps,3x45s,time,hold,new,,,,,,,,
Isometric Push Up Hold,Bodyweight,Chest,3x30s,time,hold,new,,,,,,,,
Isometric Lunge Hold,Bodyweight,Quadriceps,3x45s,time,hold,new,,,,,,,,
Glute Bridge Hold,Bodyweight,Glutes,3x45s,time,hold,new,,,,,,,,
Straddle Planche Hold,Bodyweight,Shoulders,4x10s,time,hold,new,,,,,,,,
Advanced Tuck Planche Hold,Bodyweight,Shoulders,4x15s,time,hold,new,,,,,,,,
Tuck Front Lever Hold,Bodyweight,Lats,4x20s,time,hold,new,,,,,,,,
One Arm Pull Up,Bodyweight,Lats,3x3,reps,strength,new,,,,,,,,
Commando Pull Up,Bodyweight,Lats,3x8,reps,strength,new,,,,,,,,
Around the World Pull Up,Bodyweight,Lats,3x6,reps,strength,new,,,,,,,,
Explosive Pull Up,Bodyweight,Lats,4x5,reps,strength,new,,,,,,,,
Clap Pull Up,Bodyweight,Lats,4x4,reps,strength,new,,,,,,,,
Kipping Toes to Bar,Bodyweight,Abdominals,4x10,reps,strength,new,,,,,,,,
Muscle Up Transition,Bodyweight,Lats,4x5,reps,strength,new,,,,,,,,
Handstand Walk,Bodyweight,Shoulders,4x10m,distance,cardio,new,,,,,,,,
Freestanding Handstand Hold,Bodyweight,Shoulders,4x20s,time,hold,new,,,,,,,,
Wall Handstand Hold,Bodyweight,Shoulders,4x30s,time,hold,new,,,,,,,,
Headstand Hold,Bodyweight,Shoulders,3x45s,time,hold,new,,,,,,,,
Crow Pose,Bodyweight,Shoulders,3x20s,time,hold,new,,,,,,,,
